system:index,mean,value,.geo
000000000000000000ed,294.05271963059704,7106.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee,324.4578990087368,7107.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef,376.2559996229658,7108.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0,331.1774001916923,7109.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1,354.8281004560588,7110.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2,356.50849870722635,7111.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3,365.20651371439726,7112.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4,414.1852001227324,7113.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,676.0920757284774,7114.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6,836.3998776727803,7115.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7,767.0017204283388,7116.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8,731.2258211652871,7117.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,707.7465427730085,7118.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,667.608717272268,7119.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,664.9814608742493,7120.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,719.8353756976045,7121.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,751.1875241584275,7122.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,805.887727555984,7123.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,690.904756301688,7124.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,490.18179414200335,7125.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,503.1433984453844,7126.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,583.6720781798409,7127.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103,674.6967424896641,7128.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104,483.8164063513164,7129.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105,783.4588142710555,7130.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106,1088.7731081140025,7131.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000107,1046.5169290578876,7132.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108,779.1214004714943,7133.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109,738.0911852324701,7134.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010a,552.0443822431802,7135.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010b,620.5504331754596,7136.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c,507.7856078688646,7137.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010d,355.40259607567634,7138.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e,265.29571692738176,7139.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f,243.53683201319885,7140.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
